Key,Source,Context,Changes,English,French,German,Klingon,Spanish
----------------------Quest Offer and Desc --------------------
questFishingPole,,Quest Info,Reordered,"[e3e024]Starter Quest Pt.1[-]",,,,
questFishingPoledescription,,Quest Info,Reordered,"[e3e024]*You find a shipment order on the ground where you place your bed. It's got a lot of numbers and is signed by Old Salteye Dunley. It wasn't in a bottle so obviously it didnt float here. He must be on this island. He would probably like this order back soon. Take it to him.[-][548fe8] When finding NPCs for quests, it will require you to talk with that NPC. To talk to an NPC you can interact with the megaphone block next to them. After it has been interacted with, there is a cooldown on how often they can talk.*[-]",,,,
questFishingPoleoffer,,Quest Info,KeyCon KgNone,"[e3e024]*You find a shipment order on the ground where you place your bed. It's got a lot of numbers and is signed by Old Salteye Dunley. It wasn't in a bottle so obviously it didnt float here. He must be on this island. He would probably like this order back soon. Take it to him.[-][548fe8] When finding NPCs for quests, it will require you to talk with that NPC. To talk to an NPC you can interact with the megaphone block next to them. After it has been interacted with, there is a cooldown on how often they can talk.*[-]",,,,

questFishingPole1,,Quest Info,Reordered,"[e3e024]Starter Quest Pt.2[-]",,,,
questFishingPole1description,,Quest Info,Reordered,"[e3e024]Oh a customer! Welcome to [de1f1f]Keelhauler Islands[-] best fish shack. We have the finest fish of all the land. How are you to... Oh. You aren't a customer? Darn.[-][24e3d3] *You give the shipment order to Dunley.*[-][e3e024] So that's where that order went to. I've been yelling at that customer saying it was on its way for a week now! This is not good. I need your help. Bring me some materials so I can build something. Here is a list of what I will need.[-][548fe8]When gathering new materials (like logs) they will replenish into a new resource later on.[-]",,,,
questFishingPole1offer,,Quest Info,KeyCon KgNone,"[e3e024]Oh a customer! Welcome to [de1f1f]Keelhauler Islands[-] best fish shack. We have the finest fish of all the land. How are you to... Oh. You aren't a customer? Darn.[-][24e3d3] *You give the shipment order to Dunley.*[-][e3e024] So that's where that order went to. I've been yelling at that customer saying it was on its way for a week now! This is not good. I need your help. Bring me some materials so I can build something. Here is a list of what I will need.[-][548fe8]When gathering new materials (like logs) they will replenish into a new resource later on.[-]",,,,

questFishingPole2,,Quest Info,Reordered,"[e3e024]Starter Quest Pt.3[-]",,,,
questFishingPole2description,,Quest Info,Reordered,"[e3e024]Excellent. Here is a fishing pole. Now we need to be speedy so the customer can get their shipment. Go fish up a few fish for me.[-][548fe8]To fish, you must be in water. This does not mean sitting in water, but rather in the biome of water. This means standing in water, ontop of water, under water. If you are not in these areas, you will not be able to cast. Cast with left click, wait for a fish to bite the hook, then right click to get your fish. You have a short time between hooking a fish and catching, so be quick![-]",,,,
questFishingPole2offer,,Quest Info,KeyCon KgNone,"[e3e024]Excellent. Here is a fishing pole. Now we need to be speedy so the customer can get their shipment. Go fish up a few fish for me.[-][548fe8]To fish, you must be in water. This does not mean sitting in water, but rather in the biome of water. This means standing in water, ontop of water, under water. If you are not in these areas, you will not be able to cast. Cast with left click, wait for a fish to bite the hook, then right click to get your fish. You have a short time between hooking a fish and catching, so be quick![-]",,,,

questFishingPole3,,Quest Info,Reordered,"[e3e024]Starter Quest Pt.4[-]",,,,
questFishingPole3description,,Quest Info,Reordered,"[e3e024]Magnificient! You're a natural! Ok ok we're going to need to cook these up. We'll need a few ingredients to throw in with the fish. I'll hold onto the fish until you get back. Here is a list of what we'll need. It's a simple list. Herbs are plants native to the area. Salt can be found underwater.[-]",,,,
questFishingPole3offer,,Quest Info,KeyCon KgNone,"[e3e024]Magnificient! You're a natural! Ok ok we're going to need to cook these up. We'll need a few ingredients to throw in with the fish. I'll hold onto the fish until you get back. Here is a list of what we'll need. It's a simple list. Herbs are plants native to the area. Salt can be found underwater.[-]",,,,

questFishingPole4,,Quest Info,Reordered,"[e3e024]Starter Quest Pt.5[-]",,,,
