Key,English,Japanese


--------------Items----------------
bookToolTimeDoubleStep,"[fa4d43]Tool Time: Double Step[-]","[fa4d43]Japanese[-]"
bookToolTimeDamageIncrease,"[fa4d43]Tool Time: Tool Fighter[-]","[fa4d43]Japanese[-]"
bookToolTimeKnockoutSwing,"[fa4d43]Tool Time: Knockout Swing[-]","[fa4d43]Japanese[-]"
bookToolTimeRecharge,"[fa4d43]Tool Time: Recharge & Recover[-]","[fa4d43]Japanese[-]"
bookToolTimeRange,"[fa4d43]Tool Time: Reach Technique[-]","[fa4d43]Japanese[-]"
bookToolTimeT3PoweredSledge,"[fa4d43]Tool Time: Powered Sledgehammer Mk1[-]","[fa4d43]Japanese[-]"
bookToolTimeShocker,"[fa4d43]Tool Time: Shocker Mod[-]","[fa4d43]Japanese[-]"
bookToolTimeCompleteCollectionA,"[fa4d43]Tool Time: Complete Collection[-], mostly.","[fa4d43]Japanese[-]"
bookToolTimeCompleteCollectionB,"[fa4d43]Tool Time: Complete Collection[-], partly.","[fa4d43]Japanese[-]"
bookToolTimeCompleteCollection,"[fa4d43]Tool Time: Complete Collection[-]","[fa4d43]Japanese[-]"

--------------Perks----------------
perkToolTimeDoubleStep,"[fa4d43]Tool Time: Double Step[-]","[fa4d43]Japanese[-]"
perkToolTimeDamageIncrease,"[fa4d43]Tool Time: Tool Fighter[-]","[fa4d43]Japanese[-]"
perkToolTimeKnockoutSwing,"[fa4d43]Tool Time: Knockout Swing[-]","[fa4d43]Japanese[-]"
perkToolTimeRecharge,"[fa4d43]Tool Time: Recharge & Recover[-]","[fa4d43]Japanese[-]"
perkToolTimeRange,"[fa4d43]Tool Time: Reach Technique[-]","[fa4d43]Japanese[-]"
perkToolTimeT3PoweredSledge,"[fa4d43]Tool Time: Powered Sledgehammer Mk1[-]","[fa4d43]Japanese[-]"
perkToolTimeShocker,"[fa4d43]Tool Time: Shocker Mod[-]","[fa4d43]Japanese[-]"

perkToolTimeName,"[fa4d43]Tool Time[-]","[fa4d43]Japanese[-]"
perkToolTimeDesc,"Learn how to fight with tools and improve your harvesting ability with these books, even improves harvesting while using a sledgehammer. Each book in the series slightly improves your combat skills with tools and harvesting with sledgehammers which now count as tools.\nBooks 6 & 7 will increase your tool fighting XP and also increase your chances of finding the other books in the series as well as workstations, traps, robotics, and repair tools crafting books.","[fa4d43]Japanese[-]"

perkToolTimeDoubleStepLongDesc,"While holding a tool, you have 15% additional movement speed. And reading this book unlocks a 15% bonus to Harvesting, even with a sledgehammer, [fa4d43]which stacks again for each other book in the series you read.[-]","[fa4d43]Japanese[-]"
perkToolTimeDoubleStepDesc,"[fa4d43]Double Step[-]","[fa4d43]Japanese[-]"

perkToolTimeDamageIncreaseLongDesc,"Victims of your tool attacks increase nearby ally damage by 30% for 2 seconds. You learn how to find Tim's Dirty Tool Fighting Techniques hidden in each edition of Tool Time as well, which increases your entity and block damage while holding tools and sledgehammers that [fa4d43]scales with each book of the series you read in addition to this one.[-]","[fa4d43]Japanese[-]"
perkToolTimeDamageIncreaseDesc,"[fa4d43]Tool Fighter[-]","[fa4d43]Japanese[-]"

